
Fall2021-2022(202210),11832,IDTH,301,0,Intr.toMedicalSc.Literature,2,2,FM,15,5,1101,1229,.,.,.,.,.,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,AyadA,Jaffa,,,
Fall2021-2022(202210),11833,INDE,301,1,EngineeringEconomy,3,3,EA,16,29,0800,0915,BECHTA,212,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Kassem,Ghorayeb,,,
Fall2021-2022(202210),11834,INDE,301,2,EngineeringEconomy,3,3,EA,34,11,0800,0915,MAMC,207,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Samir,Trabulsi,,,
Fall2021-2022(202210),11835,INDE,301,3,EngineeringEconomy,3,3,EA,45,0,0800,0850,BECHTA,212,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Nazim,Nouiehed,,,
Fall2021-2022(202210),11836,INDE,301,4,EngineeringEconomy,3,3,EA,26,19,1100,1150,MAMC,207,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Samir,Trabulsi,,,
Fall2021-2022(202210),11837,INDE,301,5,EngineeringEconomy,3,3,EA,47,-2,1100,1215,BECHTA,212,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Moueen,Salameh,,,
Fall2021-2022(202210),11838,INDE,301,6,EngineeringEconomy,3,3,EA,22,23,0800,0850,IOEC,217,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Majd,Olleik,,,
Fall2021-2022(202210),11839,INDE,302,1,OperationsResearchI,3,3,EA,53,-8,0930,1045,BECHTA,111,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Hussein,Tarhini,,,
Fall2021-2022(202210),11840,INDE,302,2,OperationsResearchI,3,3,EA,56,-11,0931,1059,BECHTA,212,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ali,Yassine,,,
Fall2021-2022(202210),11841,INDE,410,1,EngineeringEthics,3,3,EA,38,7,1000,1050,MAMC,207,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,NadineMarie,Moacdieh,,,
Fall2021-2022(202210),11842,INDE,410,2,EngineeringEthics,3,3,EA,42,3,0800,0850,BECHTA,204,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Youssef,Saad,,,
Fall2021-2022(202210),11843,INDE,410,3,EngineeringEthics,3,3,EA,46,-1,0900,0950,BECHTA,211,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Youssef,Saad,,,
Fall2021-2022(202210),11844,INDE,410,4,EngineeringEthics,3,3,EA,36,9,1230,1400,IOEC,217,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NadineMarie,Moacdieh,,,
Fall2021-2022(202210),11845,INDE,410,5,EngineeringEthics,3,3,EA,0,0,1400,1515,BECHTA,212,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
